No.,Player,Position,Height,Points,Assists,Ds,Turns,Team,Division,Year
22,Michael Dagher-Margosian,,'"5''7"""',,,,,HIGH FIVE,Men,2018
23,Alex Kapiamba,,,8,2,4,2,HIGH FIVE,Men,2018
24,Wesley Chen,,,4,1,1,2,HIGH FIVE,Men,2018
30,Parker Howard,,'"1''0"""',14,3,,1,HIGH FIVE,Men,2018
38,Joe Mozloom Jr,,'"5''11"""',,3,2,1,HIGH FIVE,Men,2018
45,Kevin Baumann,,'"6''1"""',4,6,,6,HIGH FIVE,Men,2018
47,Phil Cherosky,,'"5''10"""',1,8,2,5,HIGH FIVE,Men,2018
55,Johnny Bansfield,,'"5''10"""',10,15,1,5,HIGH FIVE,Men,2018
76,Cole Osborn,,'"4''4"""',5,8,3,3,HIGH FIVE,Men,2018
77,James Highsmith,,'"6''1"""',5,,2,1,HIGH FIVE,Men,2018
91,Joe White,,'"5''11"""',4,12,2,3,HIGH FIVE,Men,2018
98,Zach Braun,,'"5''9"""',,1,,,HIGH FIVE,Men,2018
,Jeff Loskorn,,,,,,,Doublewide,Men,2018
,Kevin Richardson,,,,,,,Doublewide,Men,2018
0,Brendan Adams,,'"6''1"""',,,,,Doublewide,Men,2018
0,Brandon Malecek,Handler,'"5''10"""',2,4,1,11,Doublewide,Men,2018
1,Jason Holleran,,'"6''3"""',3,6,3,5,Doublewide,Men,2018
2,Matthew Bennett,,'"5''8"""',,12,3,14,Doublewide,Men,2018
4,Jay Froude,,,18,18,5,16,Doublewide,Men,2018
6,Michael Matthis,Defense (Cutter),'"5''10"""',11,5,5,4,Doublewide,Men,2018
7,Kurt Gibson,,'"6''2"""',,,,,Doublewide,Men,2018
9,Carson Wilder,,'"6''0"""',7,5,,2,Doublewide,Men,2018
10,Kaplan Maurer,,,4,8,2,6,Doublewide,Men,2018
11,Robert Lewis,,'"5''8"""',2,4,,7,Doublewide,Men,2018
12,Andrew Walch,,'"6''1"""',1,4,6,3,Doublewide,Men,2018
13,Dalton Smith,,'"5''10"""',6,11,2,3,Doublewide,Men,2018
14,Carter Hollo,,,17,2,1,3,Doublewide,Men,2018
15,"Sam ""Suds"" Ward",,'"5''7"""',,,,,Doublewide,Men,2018
16,Christopher Larocque,,'"6''2"""',13,27,3,10,Doublewide,Men,2018
17,Chris Larberg,,,5,1,1,1,Doublewide,Men,2018
19,Ethan Pollack,,,11,5,,4,Doublewide,Men,2018
20,Chase Cunningham,Handler/Cutter,'"6''3"""',28,36,8,29,Doublewide,Men,2018
21,Connor Ughetta,Defense (Cutter/Handler),'"5''10"""',3,3,,2,Doublewide,Men,2018
22,Griffin Miller,,'"5''11"""',7,2,7,2,Doublewide,Men,2018
24,Rory Orloff,,,4,,,,Doublewide,Men,2018
26,Noah Chambers,,'"6''3"""',3,3,3,2,Doublewide,Men,2018
27,Kyle Henke,,'"6''3"""',19,11,2,7,Doublewide,Men,2018
28,Daniel Emmons,Defense (Cutter),'"6''5"""',,,,,Doublewide,Men,2018
28,Elliott Moore,,'"5''10"""',3,1,,1,Doublewide,Men,2018
29,Mick Walter,,'"6''6"""',4,,3,1,Doublewide,Men,2018
31,Kai Marshall,,'"6''5"""',4,7,2,3,Doublewide,Men,2018
33,Ryan Purcell,,'"5''8"""',1,7,,,Doublewide,Men,2018
34,Henry Furuta,,'"5''0"""',9,6,3,10,Doublewide,Men,2018
43,Benjamin Lewis,,'"6''2"""',7,10,2,,Doublewide,Men,2018
50,Matthew Armour,,'"3''4"""',8,2,,,Doublewide,Men,2018
83,Mitchell Bennett,,'"5''9"""',,,,,Doublewide,Men,2018
99,Joshua Zdrodowski,,'"6''7"""',13,6,7,4,Doublewide,Men,2018
0,Mark Rauls,,'"5''5"""',2,4,,,Johnny Bravo,Men,2018
3,David Miller,Dump,'"1''0"""',14,1,1,3,Johnny Bravo,Men,2018
4,Felix Pronove,Dump,'"1''4"""',6,4,2,5,Johnny Bravo,Men,2018
5,Elliott Erickson,,'"5''9"""',7,15,4,12,Johnny Bravo,Men,2018
6,Erik Hotaling,,'"1''0"""',12,15,4,9,Johnny Bravo,Men,2018
7,Will McDonald,Dump,'"6''0"""',6,,,1,Johnny Bravo,Men,2018
9,Robert Korbel,Dump,'"6''3"""',1,1,,,Johnny Bravo,Men,2018
10,Nick Purifico,Dump,,,4,2,,Johnny Bravo,Men,2018
11,Joshua Crane,,,22,35,2,28,Johnny Bravo,Men,2018
13,Alan Villanueva,Dump,'"6''0"""',14,7,12,8,Johnny Bravo,Men,2018
15,Dennison Chris Bechis,,,41,24,5,14,Johnny Bravo,Men,2018
16,Jake Marrapode,Dump,'"5''11"""',1,6,1,5,Johnny Bravo,Men,2018
20,Mo Scott,Defense (Handler),'"5''9"""',4,6,2,3,Johnny Bravo,Men,2018
22,Stanley Peterson,,,39,24,6,12,Johnny Bravo,Men,2018
24,Matt Bubernak,Deep,,3,5,3,5,Johnny Bravo,Men,2018
26,Owen Westbrook,,,7,10,,9,Johnny Bravo,Men,2018
29,Sandy Brown,Dump,'"6''5"""',5,4,3,3,Johnny Bravo,Men,2018
32,Kevin Johnson,Dump,'"5''10"""',7,,1,2,Johnny Bravo,Men,2018
34,Henry Konker,Dump,'"1''0"""',23,33,5,16,Johnny Bravo,Men,2018
35,Todd Wolma,Defense (Cutter),'"6''1"""',6,4,6,2,Johnny Bravo,Men,2018
42,Ben Lohre,,,27,50,7,19,Johnny Bravo,Men,2018
66,Matt Jackson,,'"5''8"""',36,35,4,18,Johnny Bravo,Men,2018
72,Dylan Salzman,Dump,'"5''8"""',9,17,3,10,Johnny Bravo,Men,2018
85,Calvin Delamere,Dump,,12,1,,1,Johnny Bravo,Men,2018
88,Quinn Finer,Dump,'"6''0"""',12,12,3,7,Johnny Bravo,Men,2018
0,Henry Babcock,,,1,1,,3,DiG,Men,2018
0,Noah Backer,,'"6''0"""',9,7,,3,DiG,Men,2018
0,Chris Bartoli,,'"6''0"""',1,1,2,2,DiG,Men,2018
0,Gene Buonaccorsi,,,,,,,DiG,Men,2018
0,Jason (Jay) Clark,,'"6''2"""',2,3,3,4,DiG,Men,2018
0,Gabe Colton,,,1,3,3,1,DiG,Men,2018
0,Ryan Dinger,,'"6''2"""',1,1,,,DiG,Men,2018
0,Rocco Essex-Linehan,,'"6''0"""',10,2,,3,DiG,Men,2018
0,Ben Field,,'"5''11"""',3,,2,1,DiG,Men,2018
0,Brett Gramann,,'"5''9"""',7,10,1,3,DiG,Men,2018
0,Jack Hatchett,,'"6''0"""',2,4,,4,DiG,Men,2018
0,Mac Hecht,,'"6''2"""',4,11,,6,DiG,Men,2018
0,Rustin Ingold-Smith,,'"6''0"""',1,2,1,3,DiG,Men,2018
0,Tannor Johnson,,'"6''3"""',5,18,2,6,DiG,Men,2018
0,Joshua Markette,,,2,4,2,4,DiG,Men,2018
0,Eli Motycka,,'"3''0"""',,,,,DiG,Men,2018
0,Eric Shaw,,,,,,,DiG,Men,2018
0,Willie Stewart,,'"6''2"""',1,3,,3,DiG,Men,2018
2,Spencer Diamond,,,6,3,,2,DiG,Men,2018
3,Ryan Rzepka,,,,1,1,1,DiG,Men,2018
4,Tanner Halkyard,,'"6''3"""',10,4,1,2,DiG,Men,2018
5,Michael Sender,,,3,1,1,,DiG,Men,2018
8,Ben Sadok,,'"5''5"""',7,9,,7,DiG,Men,2018
9,Misha Sidorsky,,'"5''10"""',5,1,,2,DiG,Men,2018
11,Mat Little,,'"5''10"""',2,2,,3,DiG,Men,2018
12,Timothy Schoch,,'"6''1"""',2,2,,,DiG,Men,2018
13,Hartley Greenwald,,'"7''6"""',5,4,,,DiG,Men,2018
22,Ben Tseytlin,,,5,7,,1,DiG,Men,2018
27,Nicholas Thompson,,,8,2,1,4,DiG,Men,2018
64,Frederik Brasz,,,1,1,,2,DiG,Men,2018
71,Denis Maguire,,'"6''2"""',,,,,DiG,Men,2018
83,Alex Dagley,,'"6''1"""',3,,1,,DiG,Men,2018
0,John Cairns,,,,1,,,Rhino Slam,Men,2018
0,Colby Chuck,,,,1,2,2,Rhino Slam,Men,2018
0,Colton Clark,,,3,11,,5,Rhino Slam,Men,2018
0,Sam Gordon-Koven,,'"6''5"""',1,,,1,Rhino Slam,Men,2018
0,Kristian Grobecker,,'"1''0"""',3,1,2,2,Rhino Slam,Men,2018
0,Andrew Halpin,,,1,,,,Rhino Slam,Men,2018
0,Spencer Latarski,,,,,,1,Rhino Slam,Men,2018
0,Will Lohre,,,7,3,1,1,Rhino Slam,Men,2018
0,Garrett Martin,,'"5''11"""',,,,,Rhino Slam,Men,2018
0,Leandro Marx,,,1,4,3,3,Rhino Slam,Men,2018
0,Adam Rees,,,6,10,3,8,Rhino Slam,Men,2018
0,Will Shaw,,,9,11,1,3,Rhino Slam,Men,2018
0,Trevor Smith,,,5,15,1,3,Rhino Slam,Men,2018
0,Hylke Snieder,,,5,,,3,Rhino Slam,Men,2018
6,Cody Bjorklund,,,12,21,1,9,Rhino Slam,Men,2018
8,Benjamin Whitenack,,,10,5,1,3,Rhino Slam,Men,2018
