Team,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers,Division
Truck Stop,23,Alexandre Fall,,,1,0,0,1,Open
Truck Stop,25,Marcus Thaw,Handler/Cutter,"6'0""",1,2,1,0,Open
Truck Stop,26,Joseph Richards,Cutter,"6'3""",3,0,0,0,Open
Truck Stop,27,Austin Bartenstein,,,1,1,1,2,Open
Truck Stop,30,David Bloodgood,,"6'0""",1,4,3,2,Open
Truck Stop,36,David Shields,,"5'9""",1,6,0,4,Open
Truck Stop,43,Nathan Prior,,,0,7,2,10,Open
Truck Stop,45,Jeff Wodatch,Cutter,,8,4,2,1,Open
Truck Stop,52,Gus Norrbom,,,2,3,1,0,Open
Truck Stop,70,Christopher Strub,Defense (Handler),"5'9""",4,0,1,1,Open
Truck Stop,87,Matt Kerrigan,,"6'0""",0,1,0,0,Open
Truck Stop,90,Markham Shofner,,,5,13,1,5,Open
Truck Stop,91,Troy Holland,,"6'0""",3,0,1,1,Open
Truck Stop,97,Bradley Scott,,,1,2,0,1,Open
DiG,1,Jack Hatchett,Dump,"6'0""",2,4,0,4,Open
DiG,2,Misha Sidorsky,Defense (Cutter),"5'10""",5,1,0,2,Open
DiG,3,Ben Sadok,,"5'5""",7,9,0,7,Open
DiG,4,Tanner Halkyard,Cutter,"6'3""",10,4,1,2,Open
DiG,5,Noah Backer,Handler,"6'0""",9,7,0,3,Open
DiG,6,Rocco Essex-Linehan,,"6'0""",10,2,0,3,Open
DiG,7,Jason (Jay) Clark,,"6'2""",2,3,3,4,Open
DiG,8,Michael Sender,,,3,1,1,0,Open
DiG,10,Rustin Ingold-Smith,Mid,"6'0""",1,2,1,3,Open
DiG,11,Mat Little,Handler,"5'10""",1,1,0,2,Open
DiG,12,Timothy Schoch,,"6'1""",1,0,0,0,Open
DiG,14,Ben Field,Mid,"5'11""",3,0,2,1,Open
DiG,15,Tannor Johnson,,"6'3""",5,18,2,6,Open
DiG,17,Henry Babcock,,,1,1,0,3,Open
DiG,18,Brett Gramann,Defense (Cutter),"5'9""",1,2,1,3,Open
DiG,21,Gabe Colton,,,1,3,3,1,Open
DiG,22,Ben Tseytlin,,,3,3,0,1,Open
DiG,23,Ryan Dinger,Handler/Cutter,"6'2""",1,1,0,0,Open
DiG,25,Willie Stewart,Handler,"6'2""",1,3,0,3,Open
DiG,27,Nicholas Thompson,,,7,2,1,4,Open
DiG,32,Spencer Diamond,,,6,3,0,2,Open
DiG,33,Ryan Rzepka,,,0,1,1,1,Open
DiG,64,Frederik Brasz,,,1,1,0,2,Open
DiG,74,Mac Hecht,,"6'2""",4,11,0,6,Open
DiG,80,Chris Bartoli,,"6'0""",1,1,2,2,Open
DiG,85,Joshua Markette,,,2,4,2,4,Open
DiG,97,Alex Dagley,,"6'1""",1,0,1,0,Open
Rhino Slam,0,John Cairns,,,,1,,,Open
Rhino Slam,0,Colby Chuck,,,,1,2,2,Open
Rhino Slam,0,Colton Clark,,,3,11,,5,Open
Rhino Slam,0,Sam Gordon-Koven,,"6'5""",1,,,1,Open
Rhino Slam,0,Kristian Grobecker,,"1'0""",3,1,2,2,Open
Rhino Slam,0,Andrew Halpin,,,1,,,,Open
Rhino Slam,0,Spencer Latarski,,,,,,1,Open
Rhino Slam,0,Will Lohre,,,7,3,1,1,Open
Rhino Slam,0,Garrett Martin,,"5'11""",,,,,Open
Rhino Slam,0,Leandro Marx,,,1,4,3,3,Open
Rhino Slam,0,Adam Rees,,,6,10,3,8,Open
Rhino Slam,0,Will Shaw,,,9,11,1,3,Open
Rhino Slam,0,Trevor Smith,,,5,15,1,3,Open
Rhino Slam,0,Hylke Snieder,,,5,,,3,Open
Rhino Slam,6,Cody Bjorklund,,,12,21,1,9,Open
Rhino Slam,8,Benjamin Whitenack,,,10,5,1,3,Open
Rhino Slam,9,Chris Hancock,Handler,"5'8""",6,2,,3,Open
Rhino Slam,12,Jonathan Lee,,"6'0""",11,7,,1,Open
Rhino Slam,13,Timmy Perston,,,4,1,,,Open
Rhino Slam,15,Mario Bundy,,"5'11""",,1,2,1,Open
Rhino Slam,17,Raphael Hayes,Cutter,,24,8,3,9,Open
Rhino Slam,19,Quinn Buermeyer,,"5'10""",4,3,2,1,Open
Rhino Slam,20,Brandon Lafferty,,,2,5,,2,Open
Rhino Slam,22,Grant Cole,Defense (Handler),,1,2,,,Open
Rhino Slam,30,Sam Franer,Defense (Cutter),"5'10""",3,1,1,1,Open
Rhino Slam,40,Vinh Bui,,,1,4,1,3,Open
Rhino Slam,44,Owen Murphy,,,2,15,,2,Open
Rhino Slam,47,Will Beck,,"6'1""",5,,,,Open
Rhino Slam,88,Duncan Fitzgerald,,"6'0""",,,,,Open
Rhino Slam,91,Aaron Adamson,,,4,1,2,1,Open
Chain Lightning ,0,Karl Ekwurtzel,,"6'2""",1,1,,,Open
Chain Lightning ,0,Daniel Sperling,,"5'11""",7,4,1,2,Open
Chain Lightning ,1,Will Lindquist,,,7,4,,1,Open
Chain Lightning ,2,Austin Taylor,,"5'10""",7,8,1,8,Open
Chain Lightning ,3,Matthew Knowles,,"5'11""",1,4,1,3,Open
Chain Lightning ,4,Player Pierce,,"6'3""",4,12,1,9,Open
Chain Lightning ,5,Michael Fairley,,"6'4""",3,3,1,3,Open
Chain Lightning ,6,Tyler Kunsa,,"5'11""",,,,,Open
Chain Lightning ,7,Parker Bray,,"6'0""",,1,,3,Open
Chain Lightning ,8,Christian Olsen,,"5'10""",7,9,1,1,Open
Chain Lightning ,9,Kyle Stapleton,,,,,,,Open
Chain Lightning ,10,Danny On,,"5'6""",3,,3,1,Open
Chain Lightning ,11,Christopher Calhoun,,"5'8""",1,,,,Open
Chain Lightning ,12,Matthew Smith,,,19,5,1,4,Open
Chain Lightning ,13,Josh Turner,,,7,6,1,3,Open
Chain Lightning ,14,Karl Kingma,,,,,,,Open
Chain Lightning ,16,Anders Olsen,,,,,,,Open
Chain Lightning ,19,Stanley Birdsong,,"6'3""",6,1,,1,Open
Chain Lightning ,20,Joshua Bush,,"6'3""",,,,,Open
Chain Lightning ,21,Jacques Perivier,,,1,2,,,Open
Chain Lightning ,22,Sean Sears,,,3,1,2,1,Open
Chain Lightning ,23,Sun Choi,,,,5,,1,Open
Chain Lightning ,25,Tyler French,,"6'1""",,,,1,Open
Chain Lightning ,27,Paul Lally,,"10'11""",8,18,1,4,Open
Chain Lightning ,29,Mason Cary,,"6'0""",1,1,,,Open
Chain Lightning ,81,Joseph Burns,,"6'0""",,,,,Open
Chain Lightning ,82,Sam Batson,,,1,,1,2,Open
Chain Lightning ,87,Trenton Spinks,,"6'4""",,1,2,,Open
Chain Lightning ,99,Jaime Perez,,"6'2""",,,,,Open
SoCal Condors,0,Jacob Bartholomew,,,1,2,,,Open
SoCal Condors,0,Jesse Cohen,,"6'0""",6,2,,,Open
SoCal Condors,0,Travis Dunn,,,8,11,,,Open
SoCal Condors,0,Wesley Groth,,"6'2""",2,,,,Open
SoCal Condors,0,Aidan Hall,,,1,,,,Open
